"time (hrs)"	"OD600"	"strain"	"medium"	"biorep"	"techrep"
57.5016666666667	0.634	"ura3"	"CM_uracil"	"A"	3
58.0016666666667	0.639	"ura3"	"CM_uracil"	"A"	3
58.5016666666667	0.642	"ura3"	"CM_uracil"	"A"	3
59.0016666666667	0.644	"ura3"	"CM_uracil"	"A"	3
59.5016666666667	0.659	"ura3"	"CM_uracil"	"A"	3
60.0016666666667	0.65	"ura3"	"CM_uracil"	"A"	3
60.5016666666667	0.647	"ura3"	"CM_uracil"	"A"	3
61.0016666666667	0.642	"ura3"	"CM_uracil"	"A"	3
61.5016666666667	0.659	"ura3"	"CM_uracil"	"A"	3
62.0016666666667	0.653	"ura3"	"CM_uracil"	"A"	3
62.5016666666667	0.641	"ura3"	"CM_uracil"	"A"	3
